 keyword	Units	Component	Where	Description	Internal
IMP_FXEXL1	N	Suspensions	Dyn	User-defined [sx] force at L1 from the sprung mass	0
IMP_FXEXL2	N	Suspensions	Dyn	User-defined [sx] force at L2 from the sprung mass	0
IMP_FXEXR1	N	Suspensions	Dyn	User-defined [sx] force at R1 from the sprung mass	0
IMP_FXEXR2	N	Suspensions	Dyn	User-defined [sx] force at R2 from the sprung mass	0
IMP_FXGEXL1	N	Suspensions	Dyn	User-defined [nx] force at L1 from the inertial reference N	0
IMP_FXGEXL2	N	Suspensions	Dyn	User-defined [nx] force at L2 from the inertial reference N	0
IMP_FXGEXR1	N	Suspensions	Dyn	User-defined [nx] force at R1 from the inertial reference N	0
IMP_FXGEXR2	N	Suspensions	Dyn	User-defined [nx] force at R2 from the inertial reference N	0
IMP_FX_AERO	N	Aerodynamics	Dyn	X comp. of aero force at the aero ref pt	VARIABLE
IMP_FX_L1	N	Tires	Dyn	Long. force at the tire CTC	VARIABLE
IMP_FX_L2	N	Tires	Dyn	Long. force at the tire CTC	VARIABLE
IMP_FX_R1	N	Tires	Dyn	Long. force at the tire CTC	VARIABLE
IMP_FX_R2	N	Tires	Dyn	Long. force at the tire CTC	VARIABLE
IMP_FY0_L1	N	Tires	Dyn	Lateral force at wheel center from tire	VARIABLE
IMP_FY0_L2	N	Tires	Dyn	Lateral force at wheel center from tire	VARIABLE
IMP_FY0_R1	N	Tires	Dyn	Lateral force at wheel center from tire	VARIABLE
IMP_FY0_R2	N	Tires	Dyn	Lateral force at wheel center from tire	VARIABLE
IMP_FYEXL1	N	Suspensions	Dyn	User-defined [sy] force at L1 from the sprung mass	0
IMP_FYEXL2	N	Suspensions	Dyn	User-defined [sy] force at L2 from the sprung mass	0
IMP_FYEXR1	N	Suspensions	Dyn	User-defined [sy] force at R1 from the sprung mass	0
IMP_FYEXR2	N	Suspensions	Dyn	User-defined [sy] force at R2 from the sprung mass	0
IMP_FYGEXL1	N	Suspensions	Dyn	User-defined [ny] force at L1 from the inertial reference N	0
IMP_FYGEXL2	N	Suspensions	Dyn	User-defined [ny] force at L2 from the inertial reference N	0
IMP_FYGEXR1	N	Suspensions	Dyn	User-defined [ny] force at R1 from the inertial reference N	0
IMP_FYGEXR2	N	Suspensions	Dyn	User-defined [ny] force at R2 from the inertial reference N	0
IMP_FY_AERO	N	Aerodynamics	Dyn	Y comp. of aero force at the aero ref pt	VARIABLE
IMP_FY_L1	N	Tires	Dyn	Lateral force at the tire CTC	VARIABLE
IMP_FY_L2	N	Tires	Dyn	Lateral force at the tire CTC	VARIABLE
IMP_FY_R1	N	Tires	Dyn	Lateral force at the tire CTC	VARIABLE
IMP_FY_R2	N	Tires	Dyn	Lateral force at the tire CTC	VARIABLE
IMP_FZ0_L1	N	Tires	Dyn	Vertical force at wheel center from tire	VARIABLE
IMP_FZ0_L2	N	Tires	Dyn	Vertical force at wheel center from tire	VARIABLE
IMP_FZ0_R1	N	Tires	Dyn	Vertical force at wheel center from tire	VARIABLE
IMP_FZ0_R2	N	Tires	Dyn	Vertical force at wheel center from tire	VARIABLE
IMP_FZEXL1	N	Suspensions	Dyn	User-defined [sz] force at L1 from the sprung mass	0
IMP_FZEXL2	N	Suspensions	Dyn	User-defined [sz] force at L2 from the sprung mass	0
IMP_FZEXR1	N	Suspensions	Dyn	User-defined [sz] force at R1 from the sprung mass	0
IMP_FZEXR2	N	Suspensions	Dyn	User-defined [sz] force at R2 from the sprung mass	0
IMP_FZGEXL1	N	Suspensions	Dyn	User-defined [nz] force at L1 from the inertial reference N	0
IMP_FZGEXL2	N	Suspensions	Dyn	User-defined [nz] force at L2 from the inertial reference N	0
IMP_FZGEXR1	N	Suspensions	Dyn	User-defined [nz] force at R1 from the inertial reference N	0
IMP_FZGEXR2	N	Suspensions	Dyn	User-defined [nz] force at R2 from the inertial reference N	0
IMP_FZ_AERO	N	Aerodynamics	Dyn	Z comp. of aero force at the aero ref pt	VARIABLE
IMP_FZ_L1	N	Tires	Dyn	Vertical force at the tire CTC	VARIABLE
IMP_FZ_L2	N	Tires	Dyn	Vertical force at the tire CTC	VARIABLE
IMP_FZ_R1	N	Tires	Dyn	Vertical force at the tire CTC	VARIABLE
IMP_FZ_R2	N	Tires	Dyn	Vertical force at the tire CTC	VARIABLE
IMP_F_AUX_EXT_L1	N	Suspensions	Dyn	Ext. aux spring force at wheel center L1	0
IMP_F_AUX_EXT_L2	N	Suspensions	Dyn	Ext. aux spring force at wheel center L2	0
IMP_F_AUX_EXT_R1	N	Suspensions	Dyn	Ext. aux spring force at wheel center R1	0
IMP_F_AUX_EXT_R2	N	Suspensions	Dyn	Ext. aux spring force at wheel center R2	0
IMP_F_BOOST_EXT	N	Steering	Kin	Steering rack boost force (applies to internal steer model only)	VARIABLE
IMP_F_JNC_STOP_L1	N	Suspensions	Dyn	Jounce-stop force L1	VARIABLE
IMP_F_JNC_STOP_L2	N	Suspensions	Dyn	Jounce-stop force L2	VARIABLE
IMP_F_JNC_STOP_R1	N	Suspensions	Dyn	Jounce-stop force R1	VARIABLE
IMP_F_JNC_STOP_R2	N	Suspensions	Dyn	Jounce-stop force R2	VARIABLE
IMP_F_REB_STOP_L1	N	Suspensions	Dyn	Rebound-stop force L1	VARIABLE
IMP_F_REB_STOP_L2	N	Suspensions	Dyn	Rebound-stop force L2	VARIABLE
IMP_F_REB_STOP_R1	N	Suspensions	Dyn	Rebound-stop force R1	VARIABLE
IMP_F_REB_STOP_R2	N	Suspensions	Dyn	Rebound-stop force R2	VARIABLE
IMP_F_TIEROD_L1	N	Steering	Kin	Force on rack at tie rod L1	VARIABLE
IMP_F_TIEROD_L2	N	Steering	Kin	Force on rack at tie rod L2	VARIABLE
IMP_F_TIEROD_R1	N	Steering	Kin	Force on rack at tie rod R1	VARIABLE
IMP_F_TIEROD_R2	N	Steering	Kin	Force on rack at tie rod R2	VARIABLE
IMP_GEAR_TRANS	-	Powertrain	Dyn	Transmission gear	VARIABLE
IMP_HEAD_OBJ_1	deg	Targets	State	Heading angle, object 1	VARIABLE
IMP_HEAD_OBJ_2	deg	Targets	State	Heading angle, object 2	VARIABLE
IMP_IENG	kg-m2	Powertrain	Dyn	Combined spin inertia of engine crankshaft and torque converter input shaft	VARIABLE
IMP_INERTIA_TR	kg-m2	Powertrain	Dyn	Transmission inertia at output shaft (not including torque converter)	VARIABLE
