 keyword	Units	Component	Where	Description	Internal
IMP_ROLL_OBJ_2	deg	Targets	State	Roll angle of object 2	VARIABLE
IMP_RRE_L1	mm	Tires	Dyn	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_L2	mm	Tires	Dyn	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R1	mm	Tires	Dyn	Effective rolling radius at the tire CTC	VARIABLE
IMP_RRE_R2	mm	Tires	Dyn	Effective rolling radius at the tire CTC	VARIABLE
IMP_RR_SURF_L1	-	Tires	Dyn	Rolling-resistance coef. for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_L2	-	Tires	Dyn	Rolling-resistance coef. for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R1	-	Tires	Dyn	Rolling-resistance coef. for road surface at the tire CTC	VARIABLE
IMP_RR_SURF_R2	-	Tires	Dyn	Rolling-resistance coef. for road surface at the tire CTC	VARIABLE
IMP_R_EFF_D1	-	Powertrain	Dyn	Efficiency of front diff	VARIABLE
IMP_R_EFF_TR	-	Powertrain	Dyn	Efficiency of transmission	VARIABLE
IMP_R_GEAR_D1	-	Powertrain	Dyn	Gear ratio of front diff	VARIABLE
IMP_R_GEAR_TR	-	Powertrain	Dyn	Gear ratio of transmission	VARIABLE
IMP_R_STR_EXT_L1	-	Steering	Kin	Overall steer ratio for wheel L1	VARIABLE
IMP_R_STR_EXT_L2	-	Steering	Kin	Overall steer ratio for wheel L2	VARIABLE
IMP_R_STR_EXT_R1	-	Steering	Kin	Overall steer ratio for wheel R1	VARIABLE
IMP_R_STR_EXT_R2	-	Steering	Kin	Overall steer ratio for wheel R2	VARIABLE
IMP_SPEED	km/h	Speed controller	Dyn	Target speed for speed controller	VARIABLE
IMP_STEER_CON_1	deg	Steering	Kin	Steering gear output angle, axle 1	VARIABLE
IMP_STEER_CON_2	deg	Steering	Kin	Steering gear output angle, axle 2	VARIABLE
IMP_STEER_CON_L1	deg	Steering	Kin	Steering gear output angle, wheel L1	VARIABLE
IMP_STEER_CON_L2	deg	Steering	Kin	Steering gear output angle, wheel L2	VARIABLE
IMP_STEER_CON_R1	deg	Steering	Kin	Steering gear output angle, wheel R1	VARIABLE
IMP_STEER_CON_R2	deg	Steering	Kin	Steering gear output angle, wheel R2	VARIABLE
IMP_STEER_L1	deg	Steering	Kin	Road wheel L1 steer due to steering control, (NOT ride/roll steer)	VARIABLE
IMP_STEER_L2	deg	Steering	Kin	Road wheel L2 steer due to steering control, (NOT ride/roll steer)	VARIABLE
IMP_STEER_R1	deg	Steering	Kin	Road wheel R1 steer due to steering control, (NOT ride/roll steer)	VARIABLE
IMP_STEER_R2	deg	Steering	Kin	Road wheel R2 steer due to steering control, (NOT ride/roll steer)	VARIABLE
IMP_STEER_RACK_CON_1	mm	Steering	Kin	Steering rack position, axle 1	VARIABLE
IMP_STEER_RACK_CON_2	mm	Steering	Kin	Steering rack position, axle 2	VARIABLE
IMP_STEER_RACK_CON_L1	mm	Steering	Kin	Steering rack position, wheel L1	VARIABLE
IMP_STEER_RACK_CON_L2	mm	Steering	Kin	Steering rack position, wheel L2	VARIABLE
IMP_STEER_RACK_CON_R1	mm	Steering	Kin	Steering rack position, wheel R1	VARIABLE
IMP_STEER_RACK_CON_R2	mm	Steering	Kin	Steering rack position, wheel R2	VARIABLE
IMP_STEER_SW	deg	Steering	Ctl	Steering wheel angle	VARIABLE
IMP_STEER_T_IN	N-m	Steering	Ctl	Steering input torque (driver model torque option or open loop)	VARIABLE
IMP_S_OBJ_1	m	Targets	State	Station of object 1	VARIABLE
IMP_S_OBJ_2	m	Targets	State	Station of object 2	VARIABLE
IMP_THROTTLE_ENGINE	-	Powertrain	Dyn	Open loop throttle control	VARIABLE
IMP_TTC_AEB	s	VS Commands	State	(null)	0
IMP_TYPE_OBJ_1	-	Targets	State	Type code of object 1	VARIABLE
IMP_TYPE_OBJ_2	-	Targets	State	Type code of object 2	VARIABLE
IMP_VIS_OBJ_1	-	Targets	State	Visibility of object 1	VARIABLE
IMP_VIS_OBJ_2	-	Targets	State	Visibility of object 2	VARIABLE
IMP_V_OBJ_1	km/h	Targets	State	V speed of object 1	VARIABLE
IMP_V_OBJ_2	km/h	Targets	State	V speed of object 2	VARIABLE
IMP_WIND_HEADING	deg	Aerodynamics	State	Heading (yaw) angle of wind. Zero heading gives tailwind for vehicle with zero yaw	VARIABLE
IMP_WIND_SPEED	km/h	Aerodynamics	State	Absolute wind speed	VARIABLE
IMP_XDMP_EXT_L1	mm	Suspensions	Dyn	Compression of damper L1	VARIABLE
IMP_XDMP_EXT_L2	mm	Suspensions	Dyn	Compression of damper L2	VARIABLE
IMP_XDMP_EXT_R1	mm	Suspensions	Dyn	Compression of damper R1	VARIABLE
IMP_XDMP_EXT_R2	mm	Suspensions	Dyn	Compression of damper R2	VARIABLE
IMP_XJST_EXT_L1	mm	Suspensions	Dyn	Compression for jounce stop L1	VARIABLE
IMP_XJST_EXT_L2	mm	Suspensions	Dyn	Compression for jounce stop L2	VARIABLE
IMP_XJST_EXT_R1	mm	Suspensions	Dyn	Compression for jounce stop R1	VARIABLE
IMP_XJST_EXT_R2	mm	Suspensions	Dyn	Compression for jounce stop R2	VARIABLE
IMP_XRST_EXT_L1	mm	Suspensions	Dyn	Compression for rebound stop L1	VARIABLE
IMP_XRST_EXT_L2	mm	Suspensions	Dyn	Compression for rebound stop L2	VARIABLE
IMP_XRST_EXT_R1	mm	Suspensions	Dyn	Compression for rebound stop R1	VARIABLE
IMP_XRST_EXT_R2	mm	Suspensions	Dyn	Compression for rebound stop R2	VARIABLE
IMP_X_DM	m	Driver model	Ctl	Global X coordinate of driver preview point	VARIABLE
IMP_X_DM_REL	m	Driver model	Ctl	Relative X coord. of driver preview point	VARIABLE
IMP_X_OBJ_1	m	Targets	State	X coordinate of object 1	VARIABLE
IMP_X_OBJ_2	m	Targets	State	X coordinate of object 2	VARIABLE
IMP_YAW_AIM_SENSOR_1	deg	Sensors	State	Relative yaw (aim) of sensor	VARIABLE
IMP_YAW_AIM_SENSOR_2	deg	Sensors	State	Relative yaw (aim) of sensor	VARIABLE
IMP_YAW_OBJ_1	deg	Targets	State	Yaw angle of object 1	VARIABLE
IMP_YAW_OBJ_2	deg	Targets	State	Yaw angle of object 2	VARIABLE
IMP_Y_DM	m	Driver model	Ctl	Global Y coordinate of driver preview point	VARIABLE
IMP_Y_DM_REL	m	Driver model	Ctl	Relative Y coord. of driver preview point	VARIABLE
IMP_Y_OBJ_1	m	Targets	State	Y coordinate of object 1	VARIABLE
IMP_Y_OBJ_2	m	Targets	State	Y coordinate of object 2	VARIABLE
IMP_ZGND_L1	m	Tires	Dyn	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_L2	m	Tires	Dyn	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R1	m	Tires	Dyn	Z coordinate of ground at the tire CTC	VARIABLE
IMP_ZGND_R2	m	Tires	Dyn	Z coordinate of ground at the tire CTC	VARIABLE
IMP_Z_OBJ_1	m	Targets	State	Z coordinate of object 1	VARIABLE
IMP_Z_OBJ_2	m	Targets	State	Z coordinate of object 2	VARIABLE
