Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_L1,Y_L2,Y_R1,Y_R2,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0, -0.001776608731122, 0, 6, 2.011967036359, 0.1003532466873, 0.1004151510882, 1.106757932554, 1.592405702861, -0.9060522690608, -1.391701159254, 0.005578095600507, 0.005604274095558, 0.005580042303816, 0.005602328123072, 0, 99.96459877449, 100, 100, 87.0358263826, 17.40704583707, 87.41006218204, 85.38402885948, 86.68118826987, 84.65269253544, -29.5003960789, -29.33915116409, -29.75648405538, -29.66868165884, -29.25138195006, -49.24190177042, -9.848591535138, -48.60407299355, -47.4548673345, -49.8921475646, -48.74729350883, 45.53908881088, 45.12341947663, 45.45451163573, 45.51633055748, 45.45191942509, 45.51372958937
0.025, -0.1163643208903, 0, 6, 2.009359060199, 0.07922088143144, 0.07926962332509, 1.016272071817, 1.63467540936, -1.033808416983, -1.471688809073, 0.3767731752937, 0.3764672556199, 0.375949177575, 0.3763826635187, -15.96436250014, 99.96602405726, 100, 100.0011099265, 87.63979525584, 104.0121546404, 88.01466360033, 85.98832596104, 87.28459062379, 85.25678271177, -29.50987769682, -30.18579959167, -29.76869170505, -30.51391103874, -29.25922248993, -49.58420665718, -58.85133532316, -48.94662804464, -47.7967884412, -50.23402041951, -49.08909449435, 45.5206466242, 45.10502946975, 45.43582953969, 45.49761383965, 45.4338128562, 45.49535361063
0.05, -0.1183867696039, 0, 6, 2.002137219401, 0.0295652795408, 0.02958333944576, 0.9734110692983, 1.606841733682, -1.07297547214, -1.513874226743, 0.7478270804771, 0.7474980433957, 0.7464250256848, 0.7469100114756, -15.80402490894, 99.96459192735, 100, 99.99931683155, 88.24302654673, 104.6084560041, 88.61848271778, 86.59301957311, 87.88742117623, 85.86048833875, -29.55419793188, -30.23455054692, -29.81405159658, -30.56447411104, -29.30547588414, -49.92787294036, -59.2071301072, -49.290321571, -48.13891594141, -50.57715463952, -49.43066389284, 45.50227179058, 45.08679942542, 45.41723090311, 45.47863213206, 45.41592378312, 45.47717925488
0.075, -0.1208370073008, 0, 6, 1.992560176783, -0.03025759858754, -0.03027590490688, 0.9292918761286, 1.579121203395, -1.109372458991, -1.54661006624, 1.119120793122, 1.118709501283, 1.116659468976, 1.1171422113, -15.51605589272, 99.96150399938, 100, 99.9959600334, 88.84552310798, 105.1984160516, 89.22196069595, 87.19807565351, 88.48913722947, 86.46377240287, -29.63294400047, -30.30819579742, -29.89600177295, -30.63868707057, -29.38776734223, -50.27283203674, -59.57402795457, -49.63547820073, -48.48129821543, -50.9213181829, -49.77203976279, 45.48396681858, 45.06868688365, 45.39874157138, 45.45973830069, 45.39796950559, 45.45905797053
0.1, -0.1325373076764, 0, 6, 1.983557001247, -0.08088043507773, -0.0809289276038, 0.8899258560067, 1.569364644975, -1.140375083256, -1.562312564744, 1.490596114614, 1.49004703244, 1.486686232433, 1.48710955976, -15.12505637566, 99.95653892489, 100, 99.99083507915, 89.44737616952, 105.7832030025, 89.82507210335, 87.80333405831, 89.08987668496, 87.06663224026, -29.73898844675, -30.39924184138, -30.00682474537, -30.72922952348, -29.49839937299, -50.61884786252, -59.94985774507, -49.98191751662, -48.82400898341, -51.26641739982, -50.11338156516, 45.46572342041, 45.05062471496, 45.38038359023, 45.44111790914, 45.37984809724, 45.44085578649
0.125, -0.1484929786842, 0, 6, 1.97708085744, -0.1156599120241, -0.1157288046226, 0.8599483934427, 1.575524366771, -1.161943056816, -1.562469828192, 1.862194213548, 1.861461530487, 1.856544178371, 1.856854685004, -14.65477921517, 99.94994099164, 100, 99.98418311999, 90.04861745762, 106.3639463877, 90.42776242946, 88.40859953979, 89.68974998915, 87.66903992531, -29.86533002634, -30.50267561685, -30.13747448656, -30.831427066, -29.62927218775, -50.96580556095, -60.33252034347, -50.32951445099, -49.16717103744, -51.61241403207, -50.45490492502, 45.44752699816, 45.03255881999, 45.36208437131, 45.42273291803, 45.36161781152, 45.42259801103
0.15, -0.165343082522, 0, 6, 1.973914644467, -0.1386614464268, -0.138743775434, 0.8364919021507, 1.587686730594, -1.176886160318, -1.553518225788, 2.233865954304, 2.232913863617, 2.226268367189, 2.226430703237, -14.12504041165, 99.94185777033, 100, 99.97614616556, 90.64923061066, 106.9415909361, 91.02996332037, 89.01368205971, 90.28882709307, 88.27094942393, -30.00602298956, -30.61428038497, -30.28108140713, -30.94162192542, -29.7738213809, -51.31369688886, -60.72026439568, -50.67820381314, -49.51092902632, -51.95931735605, -50.79683467012, 45.42935784436, 45.01445362676, 45.34375283808, 45.40445416951, 45.34335009645, 45.40436389207
0.175, -0.1810859174808, 0, 6, 1.973916569021, -0.157669697394, -0.1577633126183, 0.8140759306095, 1.597186945961, -1.190624839097, -1.544441373945, 2.605571660661, 2.6043779274, 2.595888863145, 2.595897585269, -13.55239898194, 99.93289918766, 100, 99.96732169559, 91.24918368173, 107.5169328894, 91.63160700103, 89.61841098351, 90.88715391018, 88.87230850974, -30.15602602951, -30.73058288747, -30.43255805904, -31.0566470746, -29.9270032001, -51.66255928754, -61.11162876609, -51.02795384636, -49.85542870338, -52.30715787477, -51.13938249803, 45.41119156581, 44.99628763144, 45.32533024082, 45.38616381214, 45.32508009998, 45.38620020719
0.2, -0.195016121091, 0, 6, 1.976429485865, -0.1785953084903, -0.1787016185143, 0.7889611041953, 1.599916205146, -1.207038552702, -1.54089480652, 2.97727904326, 2.975834562321, 2.965433541136, 2.965284302961, -12.95109253792, 99.92344356719, 100, 99.95807144954, 91.84845288874, 108.0906681167, 92.23263468436, 90.2226393605, 91.48476715173, 89.47306756731, -30.31097924391, -30.84858697195, -30.58799245663, -31.17359975833, -30.08480225799, -52.01243052154, -61.50536226939, -51.37874615911, -50.2008051272, -52.6559704295, -51.48273793372, 45.39300229687, 44.97804826651, 45.30680011471, 45.36780014198, 45.30680355204, 45.36809522632
0.225, -0.2071418570545, 0, 6, 1.980670829604, -0.2032788169822, -0.2034003402946, 0.760729945383, 1.595879792573, -1.227048302638, -1.543804075169, 3.348962113589, 3.347268665375, 3.334927171705, 3.334621656973, -12.33303034598, 99.91381917863, 100, 99.94869617722, 92.44702842505, 108.6633895073, 92.83299828839, 90.82624516633, 92.08169741115, 90.07318349764, -30.4672187564, -30.96587396921, -30.74432856605, -31.29011542281, -30.24390995922, -52.36333054232, -61.90042303146, -51.73056808673, -50.54717428903, -53.00578695054, -51.82706166793, 45.37476678219, 44.95972806075, 45.28817944409, 45.349357266, 45.28849535504, 45.35000056049
0.25, -0.2174159611159, 0, 6, 1.98586629265, -0.2302862236519, -0.230424616129, 0.7316386055206, 1.587095754923, -1.249331456898, -1.55128515566, 3.720600682785, 3.718667188399, 3.704391352452, 3.703936009862, -11.70798936971, 99.90429271113, 100, 99.93942531361, 93.04491129583, 109.2355904175, 93.43265956384, 91.42912833389, 92.67797021291, 90.67262021805, -30.62174452508, -31.08100951118, -30.89899081528, -31.40489236012, -30.40145048559, -52.71526462109, -62.29596696195, -52.0834117496, -50.89463247162, -53.35663593015, -52.17248710086, 45.35646910598, 44.94132665404, 45.26950729707, 45.33085617159, 45.27014206009, 45.3318625026
0.275, -0.2252760767755, 0, 6, 1.991207841339, -0.2568239735753, -0.2569791461646, 0.704797061753, 1.575767693738, -1.271903520013, -1.560727357663, 4.092179235027, 4.090018322099, 4.073845313738, 4.073248907892, -11.08361310508, 99.89506487151, 100, 99.93043101146, 93.64210753799, 109.8076623545, 94.03158767433, 92.03120909769, 93.27360636014, 91.27134837059, -30.7722191852, -31.19161540092, -31.04958066421, -31.51515887853, -30.55498386122, -53.06823312782, -62.69134472483, -52.43727316827, -51.24325648293, -53.70854389062, -52.5191213295, 45.33810300927, 44.92285396445, 45.25082440172, 45.31231698367, 45.25174652861, 45.31364135122
0.3, -0.2307454750019, 0, 6, 1.995858135405, -0.2803207297811, -0.2804908917063, 0.6826606303526, 1.564045296231, -1.292617849375, -1.56986803348, 4.463687962587, 4.461310349957, 4.443303666702, 4.44257686537, -10.46526899933, 99.88626837002, 100, 99.9218254391, 94.23862377469, 110.3798888108, 94.62976064279, 92.63242874991, 93.86861905366, 91.86934564805, -30.9169888692, -31.29701345889, -31.1946221314, -31.62019477958, -30.70256327774, -53.42223808598, -63.0861045384, -52.79215249113, -51.59310282276, -54.06153314214, -52.86704358209, 45.31967019638, 44.90432843405, 45.23216078674, 45.29374799799, 45.23332221998, 45.29531685617
0.325, -0.2338560762224, 0, 6, 1.999094409368, -0.2993097524068, -0.2994920313549, 0.6663571048898, 1.553348060779, -1.310187593782, -1.577978380224, 4.835120769757, 4.832537471379, 4.812777806565, 4.811932345926, -9.856735065072, 99.87797670462, 100, 99.91365791902, 94.83446515601, 110.9524760098, 95.22716354007, 93.23274572214, 94.46301817583, 92.46659665153, -31.05489219894, -31.39652538672, -31.33290650775, -31.71930415144, -30.84279405221, -53.7772834207, -63.4799335145, -53.1480492785, -51.94421055743, -54.41562010762, -53.21630998392, 45.30117921688, 44.88577305842, 45.21353516051, 45.27515278061, 45.21488954323, 45.27689594954
0.35, -0.2345481795465, 0, 6, 2.000516280168, -0.3135196007434, -0.3137108054648, 0.6558464852409, 1.544064453904, -1.324250762804, -1.585544249568, 5.206473781244, 5.203697371934, 5.182276886583, 5.181324703363, -9.260842723788, 99.87025236678, 100, 99.90597352788, 95.42963539684, 111.5255839143, 95.82378810892, 93.83213183515, 95.05681357521, 93.06309251345, -31.1850773048, -31.48956383804, -31.46357063124, -31.81189865315, -30.97455927102, -54.13337154778, -63.87260134449, -53.50495873622, -52.29660395512, -54.77081315047, -53.56695791915, 45.28264610708, 44.86721187764, 45.19495907174, 45.25654143531, 45.19647186836, 45.25840878085
0.375, -0.2328032520069, 0, 6, 2.000070466241, -0.3234012726414, -0.323598416037, 0.6504746683796, 1.535933188441, -1.335009243484, -1.593324547752, 5.577744635972, 5.574788796203, 5.551808089871, 5.550760755959, -8.679767966223, 99.86313580307, 100, 99.89880516542, 96.02413911584, 112.0993399596, 96.41963322173, 94.430570933, 95.65001706235, 93.65883083366, -31.30692118892, -31.57566280719, -31.58599099914, -31.89751409703, -31.09710457678, -54.49049900398, -64.26393461748, -53.86286952285, -52.65029272078, -55.12711098261, -53.91900702923, 45.26409335325, 44.8486684409, 45.17644292348, 45.23793073745, 45.1780911745, 45.23989172864
