Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,ModeTran,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, -2.056123799616e-05, 0, 0, -10.14097686311, 0.7334524563246, 8.299337205796, 0.6760016701841, 8444.052084621, 5212.550118883, 8915.126811926, 4742.640097044, 7, -111.2574082769, 0, 110.5279989285, 0, 0.4558680883921, -0.03353336098114, -0.3717525398574, -0.0309539733625, -0, 0.05447853718346, 0.05448321542157, 0.03661070020151, -0.03660372444036, 0.03661071675097, 0.3368005077736, -0.03660370789122, -0.2635795521886, -0.03660370789122, 0.0001480645308697, 0.0001513422650599, 0.0001487744849574, 0.0001513422650599, 0.2, -0.2, 0, -300, -303.0299848316, -300.5, -299.9996619801, -303.030085307, -299.9996629309, -303.0298843562, 0, 0, 0.1996805585704, 0.007356955057312, -0.1997488424756, 0.007356955057312, 0, -0.0003538814230082, 0, 0.7822730032412, 0.7821459524431, -0.78272667727, -0.7828537152891, -0.01547170976626, 0.3474093012156, 0, 0.3400280569601, 0.346909397039, 0.3390280576163, 0.3479092053921
0.025, 0.02491723729619, 0.0003010984643681, 0, 0, 258.8879298774, -10.61298397638, -229.0539324724, -10.84809821912, 8660.225384986, 4971.033525913, 8655.193988229, 4982.330253553, 7, -136.9533054459, 0, 138.6360611737, 0, -11.61835118008, 0.4846575563176, 10.27983548386, 0.495526119537, 0.2241780953049, 0.05268080897929, 0.05268075202437, 0.03803293941225, 0.0008799606955285, 0.03803295548869, 0.3293991980399, 0.0008799603235722, -0.2784863903255, 0.0008799603235722, 0.3186101019684, 0.3186811312449, 0.3186236244449, 0.3186473050396, 0.1993280486454, -0.1919151245719, -0.0111764266142, -299.3055867071, -302.3355456939, -299.8055867071, -299.3052730733, -302.3356040023, -299.3052357095, -302.3354873855, 0.0005545861331498, 0, 0.1995805665317, 0.004269425716168, -0.1911039025132, 0.004269425716168, 1.994266394774e-05, -0.0003197669830962, 0, 0.7823100026965, 0.7821802307522, -0.7826990314018, -0.7828197647184, -0.0154135407325, 0.3474113150873, 0, 0.3395683767316, 0.3474233328826, 0.3395806823901, 0.3473992972919
0.05, 0.03606600196028, 0.0003550859474809, 0, 0, 311.370781213, 6.73008737738, -314.9315658246, 6.675496214167, 8632.649269372, 5019.175145415, 8598.58195188, 4995.387218261, 7, -149.0186218932, 0, 148.0172740714, 0, -13.9717779251, -0.3063198412783, 14.1352497081, -0.3038430823666, 0.1718711004017, 0.04644424377931, 0.04644436964248, 0.03702906076091, -0.001852964824403, 0.03702907292645, 0.3282459215952, -0.001852964215626, -0.277534347273, -0.001852964215626, 0.6371856899539, 0.6373857344068, 0.6371997220143, 0.6373612664351, 0.188057067994, -0.1994452734679, -0.02586722330815, -298.6111856957, -301.6411115475, -299.1111856957, -298.6109074222, -301.6411837125, -298.6108718514, -301.6410393825, 0.001393996416242, 0, 0.1891857035762, 0.00528402467865, -0.1978257057531, 0.00528402467865, 2.474143506441e-05, -0.0003369014687595, 0, 0.782327532233, 0.7821630947944, -0.7826920393614, -0.7828368977319, -0.01522526457474, 0.3473462100698, 0, 0.3396270875819, 0.3473209037643, 0.3397011594973, 0.3473715163752
0.075, 0.01445697774485, 0.0002471597400315, 0, 0, 328.5333491959, 7.282938542179, -336.2320761776, 7.260051959399, 8524.904558356, 5052.905724287, 8661.760358923, 5038.857232535, 7, -151.3099705578, 0, 152.9160631772, 0, -14.74952926808, -0.3308714403377, 15.07947021273, -0.3298342908734, 0.2772493023482, 0.03547181467105, 0.03547188587892, 0.03614704246403, -0.001094309618719, 0.03614704939134, 0.3246320565737, -0.001094309409002, -0.2692893679243, -0.001094309409002, 0.9558564387737, 0.9562640526265, 0.9558856968661, 0.9562484815825, 0.1948357974567, -0.1900497887734, -0.03718352553712, -297.9167336265, -300.9466735698, -298.4167336265, -297.9165415001, -300.9467522328, -297.9164715544, -300.9465949068, 0.002034769065905, 0, 0.1966702805747, 0.005759819723628, -0.1878477376563, 0.005759819723628, 2.956864671106e-05, -0.0003570212238129, 0, 0.7823405173414, 0.7821429746796, -0.78270185837, -0.7828570171272, -0.01490485161458, 0.3472640818975, 0, 0.3398564500177, 0.3472491366935, 0.339566972111, 0.3472790271015
0.1, 0.001365228642673, 0.0008837066604805, 0, 0, 341.6555797816, 7.143247962675, -331.6669445722, 7.116930513144, 8546.129715791, 5081.431540502, 8589.55183841, 5062.7068413, 7, -150.6257719786, 0, 151.477480239, 0, -15.3389167279, -0.324686968407, 14.88523982057, -0.323498103038, 0.2503933439614, 0.02169578585286, 0.02169587801731, 0.03472735460297, -0.001458563406439, 0.03472735709267, 0.3136658771748, -0.00145856330187, -0.2637685927154, -0.00145856330187, 1.274571419442, 1.275202222825, 1.274597162572, 1.275189854517, 0.1912740958708, -0.1914492987154, -0.03911878259409, -297.2222205004, -300.2522308303, -297.7222205004, -297.222116629, -300.2523102263, -297.222046968, -300.2521514343, 0.002194202145295, 0, 0.1933501369669, 0.005813489767166, -0.1891546615423, 0.005813489767166, 2.072897571039e-05, -0.0003638361762786, 0, 0.7823579008066, 0.7821361595422, -0.7827128388033, -0.7828638318948, -0.01448696582242, 0.3472083633111, 0, 0.3398116531145, 0.3471884434184, 0.3397207578377, 0.3472282832039
0.125, -0.006101541916812, 0.0006379892767857, 0, 0, 339.1664336688, 6.2050410803, -334.0049622292, 6.174265635338, 8527.461262091, 5086.290437249, 8558.04102537, 5061.861484704, 7, -148.4173842415, 0, 148.5787795845, 0, -15.23328100127, -0.2824399907174, 14.99778154336, -0.2810506506507, 0.1196033802606, 0.008060152835817, 0.008060265980026, 0.03215972878144, -0.001902897005069, 0.03215972909965, 0.3026516486173, -0.00190289698624, -0.2562056347102, -0.00190289698624, 1.593250241625, 1.594079996879, 1.593271893968, 1.594066733026, 0.1880889593108, -0.1925211238671, -0.03624646487842, -296.5276873049, -299.5577849544, -297.0276873049, -296.5276676466, -299.5578605858, -296.5276058864, -299.5577093229, 0.002131259180746, 0, 0.1901781722923, 0.005537843417386, -0.1903533110319, 0.005537843417386, 1.717663151228e-07, -0.0003625486589286, 0, 0.7823676426263, 0.7821374472545, -0.782733822649, -0.7828625445723, -0.0140265497752, 0.3472040935086, 0, 0.3398517240134, 0.3471781052612, 0.3397880049313, 0.3472300817559
0.15, -0.01483482996375, 0.0004748830976375, 0, 0, 337.2033263124, 4.64292919864, -333.3853664462, 4.616358422943, 8498.84236221, 5066.55546702, 8556.666021214, 5040.023472282, 7, -146.1292973489, 0, 146.7072735969, 0, -15.15067353694, -0.2115891865019, 14.9722704178, -0.210389333175, -0.01044948449161, -0.003231382443475, -0.003231268039877, 0.02965103872559, -0.002066713782018, 0.02965103877274, 0.2917778342073, -0.002066713778732, -0.2479338977702, -0.002066713778732, 1.911870477324, 1.91286527154, 1.911889591835, 1.912848034383, 0.1886545032033, -0.1897430716042, -0.02989228115001, -295.83318397, -298.863356035, -296.33318397, -295.8332356074, -298.8634247525, -295.8331782502, -298.8632873176, 0.001859947188271, 0, 0.1905313784477, 0.005031593983059, -0.1878966574319, 0.005031593983059, -1.969627106002e-05, -0.0003502371828119, 0, 0.7823758880298, 0.7821497592908, -0.7827562977465, -0.7828502336564, -0.01357371554974, 0.3472483200514, 0, 0.3399129490806, 0.3472200945251, 0.3397911462604, 0.3472765455777
0.175, -0.01957825474628, 0.0004618234526226, 0, 0, 336.3496386377, 3.254646068071, -330.1166172886, 3.233093473955, 8496.490277595, 5038.836687739, 8535.504550428, 5009.253383967, 7, -145.0089717313, 0, 145.4559099004, 0, -15.11334340905, -0.1484168249745, 14.82866665699, -0.1474438600195, -0.1156735695173, -0.01164853222168, -0.01164841351808, 0.02721407895944, -0.002304396008841, 0.02721407952186, 0.2807750271979, -0.002304395961218, -0.2411096132595, -0.002304395961218, 2.230442952667, 2.231575309419, 2.23045556178, 2.231551801162, 0.1875812862579, -0.1886695146832, -0.02063020337912, -295.1387380434, -298.1689651541, -295.6387380434, -295.1388386118, -298.1690247964, -295.1387936948, -298.1689055118, 0.001415771630204, 0, 0.1890545604665, 0.004367096718828, -0.1873023673737, 0.004367096718828, -3.921132682245e-05, -0.0003289441404945, 0, 0.78238457438, 0.7821710529536, -0.7827752966664, -0.7828289412346, -0.01315487007117, 0.347310542196, 0, 0.3399182796044, 0.3472790705963, 0.3398363429883, 0.3473420137957
0.2, -0.02135627957694, 0.0003038050068633, 0, 0, 333.1085076719, 1.970430914478, -328.6315507169, 1.954970550414, 8487.70661985, 5017.087481258, 8521.0905824, 4984.810288025, 7, -144.5773274909, 0, 144.9050114987, 0, -14.96879903626, -0.08986625832898, 14.76368914372, -0.08916803784309, -0.1682504825677, -0.01791861862645, -0.01791849869494, 0.02482183739986, -0.002514237014522, 0.02482183861372, 0.2709909986849, -0.002514236891571, -0.2348934699707, -0.002514236891571, 2.548983868682, 2.550241392402, 2.548989323441, 2.550210589828, 0.1866481058866, -0.1875942536117, -0.01028444692027, -294.4443527964, -297.4746204666, -294.9443527964, -294.444487384, -297.4746700578, -294.4444570316, -297.4745708753, 0.0008984027390129, 0, 0.1876316323758, 0.003631144629838, -0.1867689695218, 0.003631144629838, -5.689229995093e-05, -0.0003021332035461, 0, 0.7823925836486, 0.7821978644716, -0.7827914312105, -0.7828021308787, -0.01277526237076, 0.3473596828897, 0, 0.3399372475247, 0.3473253454502, 0.3398671639015, 0.3473940203293
0.225, -0.02194331555214, 0.0001649166578813, 0, 0, 330.1216006651, 0.7732149420407, -327.0546040992, 0.7651017564261, 8476.270042181, 5006.819157005, 8512.50271793, 4973.274549165, 7, -144.4891594986, 0, 144.9100968941, 0, -14.83561178308, -0.03525734386851, 14.69353550433, -0.03489023188528, -0.1867771651407, -0.02304644106316, -0.02304632548242, 0.02273692821176, -0.002612962557026, 0.02273693005111, 0.262293082638, -0.002612962345648, -0.2291639160886, -0.002612962345648, 2.867508981636, 2.868891073881, 2.867507673189, 2.868852890442, 0.1864819940873, -0.1858849617389, 0.0001446444186533, -293.7500190946, -296.7803191853, -294.2500190946, -293.750180699, -296.7803585987, -293.750163934, -296.7802797719, 0.0003520653792248, 0, 0.1869399027189, 0.002885907836231, -0.185624779678, 0.002885907836231, -6.990560747901e-05, -0.0002712634431907, 0, 0.7824017243303, 0.7822287347505, -0.7828034906239, -0.7827712616369, -0.01243262449432, 0.3473828786747, 0, 0.3399618205737, 0.3473471929218, 0.3398855734424, 0.3474185644277
