Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
            0, 8.3638332774e-18,             0, -8.3638332774e-18,             0,             0, 2.43290216361e-20,             0, -2.62932384198e-11,             0, -2.62932384198e-11,             0, -3.29522234563e-19,             0, 3.29522234563e-19,             0, 4705.65869141, 2654.82568359, 4705.65869141, 2654.82568359,             6,             0,             0, 0.15066960454,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, 3.18054370716e-15,             0, -3.18054370716e-15,             0, 0.000418526673457, 0.000418526673457, 0.000418526673457, 0.000418526673457,             0,             0,             0,             0,             1,           120,           120,           120, 0.000854645215441, -2.90913534164, 0.000854645215441, -2.90913534164,             0, 0.000854645215441, -2.90913534164, 16.6666660309, 0.000854645215441, -2.90913534164,             0,             0, -3.19527085726e-15,             0, 3.19527085726e-15,             0, 0.837499976158, 0.837499976158, -0.837499976158, -0.837499976158,             0, 0.837499976158, 0.837499976158,             0, -0.837499976158, -0.837499976158,             0,             0,             0,             0, -0.00855730380863, 0.316441565752, 0.324093937874,             0, 0.316441565752, 0.324093937874
        0.025, -0.000473907683045, 0.000351640221197, 0.000473907683045, -0.000351640221197, 4.22900595971e-15, -3.87795029599e-16,             0, -29.3096446991, -14.5853490829, -29.3096446991, -14.5853490829, 0.378942668438, -0.212471067905, -0.378942668438, 0.212471067905, 4687.87597656, 2659.39819336, 4687.87597656, 2659.39819336,             6,             0, -8.72196401874e-19, 0.147930666804,             0,             0,             0,             0,             0, -6.26027029716e-17,             0,             0,             0,             0,             0, -6.26029081124e-17, -0.000508817785885, 0.000366016232874, 0.000508817785885, -0.000366016232874, 0.408385545015, 0.408398389816, 0.408385545015, 0.408398389816, 0.833254039288, 0.000291915959679, -0.000291915959679, -5.41817330205e-16,             1, 119.969467163,           120, 119.969047546, 0.834090471268, -2.07589817047, 0.834090471268, -2.07589817047, 0.833254039288, 0.834090471268, -2.07589817047, 17.4956226349, 0.834090471268, -2.07589817047, 3.42504389667e-17,             0, 0.000293230637908, -0.000158679395099, -0.000293230637908, 0.000158679395099, 0.837498307228, 0.837501943111, -0.837498307228, -0.837501943111, -8.72196401874e-19, 0.837501168251, 0.837499856949,             0, -0.837501168251, -0.837499856949,             0,             0,             0,             0, -0.00844954978675, 0.316507935524, 0.324076861143,             0, 0.316507935524, 0.324076861143
         0.05, -0.00137866195291, 0.000835700309835, 0.00137866195291, -0.000835700309835, 1.06323175429e-14, -3.28473183017e-16,             0, -38.3645591736, -14.7300434113, -38.3645591736, -14.7300434113, 1.32748413086, -0.577137649059, -1.32748413086, 0.577137649059, 4637.89257812, 2669.24316406, 4637.89257812, 2669.24316406,             6,             0, -2.7840446828e-18, 0.140965685248,             0,             0,             0,             0,             0, -2.66133569802e-16,             0,             0,             0,             0,             0, -2.66134390365e-16, -0.00175377528649, 0.00111382990144, 0.00175377528649, -0.00111382990144, 0.816214621067, 0.816256225109, 0.816214621067, 0.816256225109, 1.66632604599, 0.0009680337389, -0.0009680337389, -3.79981267127e-15,             1, 119.937217712,           120, 119.936546326, 1.66712105274, -1.24286556244, 1.66712105274, -1.24286556244, 1.66632604599, 1.66712105274, -1.24286556244, 18.3241786957, 1.66712105274, -1.24286556244, 2.20319000288e-16,             0, 0.000972351524979, -0.000481937546283, -0.000972351524979, 0.000481937546283, 0.837494254112, 0.837505817413, -0.837494254112, -0.837505817413, -2.7840446828e-18, 0.837503969669, 0.837499499321,             0, -0.837503969669, -0.837499499321,             0,             0,             0,             0, -0.00816167332232, 0.316694438457, 0.324040144682,             0, 0.316694438457, 0.324040144682
        0.075, -0.00294323405251, 0.00131223071367, 0.00294323405251, -0.00131223071367, 1.48188515766e-14, -2.72331521635e-16,             0, -47.4814109802, -14.3685350418, -47.4814109802, -14.3685350418, 3.15632820129, -1.03302288055, -3.15632820129, 1.03302288055, 4583.73291016,  2672.1965332, 4583.73291016,  2672.1965332,             6,             0, -4.56912236498e-18, 0.132169917226,             0,             0,             0,             0,             0, -5.45876894424e-16,             0,             0,             0,             0,             0, -5.45878376731e-16, -0.00412413105369, 0.0021660940256, 0.00412413105369, -0.0021660940256, 1.22390079498, 1.22400701046, 1.22390079498, 1.22400701046, 2.49918651581, 0.00225503533147, -0.00225503533147, -9.75233755513e-15,             1,  119.90385437,           120, 119.903160095, 2.49992847443, -0.410054683685, 2.49992847443, -0.410054683685, 2.49918651581, 2.49992847443, -0.410054683685, 19.1524028778, 2.49992847443, -0.410054683685, 5.50568609919e-16,             0, 0.00226455484517, -0.000935769581702, -0.00226455484517, 0.000935769581702, 0.837486386299, 0.837511360645, -0.837486386299, -0.837511360645, -4.56912236498e-18, 0.837509214878, 0.837499082088,             0, -0.837509214878, -0.837499082088,             0,             0,             0,             0, -0.0077668717131, 0.316896528006, 0.324029117823,             0, 0.316896528006, 0.324029117823
          0.1, -0.00498774740845, 0.00142637442332, 0.00498774740845, -0.00142637442332, 1.9813482994e-14, 4.04225562951e-17,             0, -52.8676643372, -14.0513057709, -52.8676643372, -14.0513057709, 5.82435798645, -1.27466154099, -5.82435798645, 1.27466154099, 4545.59228516, 2664.19067383, 4545.59228516, 2664.19067383,             6,             0, -6.33535894075e-18, 0.123964302242,             0,             0,             0,             0,             0, -8.99530355259e-16,             0,             0,             0,             0,             0, -8.99532472842e-16, -0.00750465178862, 0.00294563779607, 0.00750465178862, -0.00294563779607, 1.63144373894, 1.63164365292, 1.63144373894, 1.63164365292, 3.33180689812, 0.00409403117374, -0.00409403117374, -1.74421481896e-14,             1, 119.869659424,           120, 119.869102478,   3.332498312, 0.422519385815,   3.332498312, 0.422519385815, 3.33180689812,   3.332498312, 0.422519385815, 19.9802932739,   3.332498312, 0.422519385815, 9.75416248762e-16,             0, 0.00411027763039, -0.00127049454022, -0.00411027763039, 0.00127049454022, 0.837475061417, 0.837515413761, -0.837475061417, -0.837515413761, -6.33535894075e-18, 0.837516546249, 0.837498724461,             0, -0.837516546249, -0.837498724461, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00735045783222, 0.317038834095, 0.32405897975,             0, 0.317038834095, 0.32405897975
        0.125, -0.00720243761316, 0.00106633512769, 0.00720243761316, -0.00106633512769, 2.3865182088e-14, 1.51899556632e-16,             0, -53.8701667786, -13.8943767548, -53.8701667786, -13.8943767548, 8.98311042786, -1.11165595055, -8.98311042786, 1.11165595055, 4529.61279297, 2650.64868164, 4529.61279297, 2650.64868164,             6,             0, -4.93971540942e-18, 0.117597311735,             0,             0,             0,             0,             0, -1.20047184406e-15,             0,             0,             0,             0,             0, -1.20047438516e-15, -0.0114121204242, 0.00291112205014, 0.0114121204242, -0.00291112205014, 2.03885483742, 2.03916120529, 2.03885483742, 2.03916120529, 4.16417217255, 0.00622722040862, -0.00622722040862, -2.78084592707e-14,             1, 119.835128784,           120, 119.834754944, 4.16482305527, 1.25484788418, 4.16482305527, 1.25484788418, 4.16417217255, 4.16482305527, 1.25484788418,  20.807888031, 4.16482305527, 1.25484788418, 1.5336043965e-15,             0, 0.00625065667555, -0.00125360337552, -0.00625065667555, 0.00125360337552, 0.837461709976, 0.837515234947, -0.837461709976, -0.837515234947, -4.93971540942e-18,  0.8375248909, 0.837498784065,             0, -0.8375248909, -0.837498784065, 5.55111512313e-17,             0, 5.55111512313e-17,             0, -0.00697513250634, 0.317098468542, 0.324109524488,             0, 0.317098468542, 0.324109524488
         0.15, -0.00931101385504, 0.000415144982981, 0.00931101385504, -0.000415144982981, 2.54509903956e-14, 3.01983339322e-16,             0, -51.1897773743, -13.9114332199, -51.1897773743, -13.9114332199, 12.2058773041, -0.61563795805, -12.2058773041, 0.61563795805, 4531.54785156, 2640.03613281, 4531.54785156, 2640.03613281,             6,             0, -8.33039636229e-19, 0.113021865487,             0,             0,             0,             0,             0, -1.42105468187e-15,             0,             0,             0,             0,             0, -1.42105743473e-15, -0.015316802077, 0.00200788583606, 0.015316802077, -0.00200788583606, 2.44614839554, 2.44655823708, 2.44614839554, 2.44655823708, 4.99628210068, 0.00836767349392, -0.00836767349392, -3.94818421392e-14,             1, 119.800727844,           120, 119.800476074, 4.99690294266, 2.08693027496, 4.99690294266, 2.08693027496, 4.99628210068, 4.99690294266, 2.08693027496, 21.6352367401, 4.99690294266, 2.08693027496, 2.15204771524e-15,             0, 0.00839790422469, -0.000862891029101, -0.00839790422469, 0.000862891029101, 0.837448179722, 0.83751052618, -0.837448179722, -0.83751052618, -8.33039636229e-19, 0.837532997131, 0.837499141693,             0, -0.837532997131, -0.837499141693,             0,             0,             0,             0, -0.00666808476672, 0.317091226578, 0.324149131775,             0, 0.317091226578, 0.324149131775
        0.175, -0.011154782027, -0.000214787491132, 0.011154782027, 0.000214787491132, 2.40151712942e-14, 1.32631423201e-16,             0, -46.0085601807, -14.0546112061, -46.0085601807, -14.0546112061, 15.1519908905, -0.0309623647481, -15.1519908905, 0.0309623647481, 4542.87158203, 2637.31347656, 4542.87158203, 2637.31347656,             6,             0, 5.43664374882e-18, 0.109501004219,             0,             0,             0,             0,             0, -1.57668057467e-15,             0,             0,             0,             0,             0, -1.5766834334e-15, -0.0188487861305, 0.000665338244289, 0.0188487861305, -0.000665338244289, 2.85333776474, 2.85383653641, 2.85333776474, 2.85383653641,   5.828145504, 0.0103114657104, -0.0103114657104, -5.12990359555e-14,             1, 119.766822815,           120, 119.766616821, 5.82874202728, 2.91877126694, 5.82874202728, 2.91877126694,   5.828145504, 5.82874202728, 2.91877126694, 22.4623966217, 5.82874202728, 2.91877126694, 2.76915759237e-15,             0, 0.010347507894, -0.000284004257992, -0.010347507894, 0.000284004257992, 0.837435781956, 0.837503492832, -0.837435781956, -0.837503492832, 5.43664374882e-18, 0.837540090084, 0.83749973774,             0, -0.837540090084, -0.83749973774,             0,             0,             0,             0, -0.00642710132524, 0.317048966885, 0.324159264565,             0, 0.317048966885, 0.324159264565
          0.2, -0.0126989232376, -0.000588984927163, 0.0126989232376, 0.000588984927163, 2.81085105278e-14, 4.63437877585e-16,             0, -39.5801086426, -14.2539024353, -39.5801086426, -14.2539024353, 17.6414909363, 0.40279096365, -17.6414909363, -0.40279096365, 4555.75976562, 2641.84912109, 4555.75976562, 2641.84912109,             6,             0, 1.39371247819e-17, 0.106291510165,             0,             0,             0,             0,             0, -1.65229107658e-15,             0,             0,             0,             0,             0, -1.65229393532e-15, -0.0218588747084, -0.000535442028195, 0.0218588747084, 0.000535442028195, 3.26043272018, 3.26099920273, 3.26043272018, 3.26099920273, 6.65977239609, 0.0119737032801, -0.0119737032801, -6.3643955015e-14,             1, 119.733612061,           120, 119.733398438, 6.66034793854, 3.75037837029, 6.66034793854, 3.75037837029, 6.65977239609, 6.66034793854, 3.75037837029, 23.2894115448, 6.66034793854, 3.75037837029, 3.41008582422e-15,             0, 0.0120142754167, 0.000232786580455, -0.0120142754167, -0.000232786580455, 0.837425112724, 0.83749717474, -0.837425112724, -0.83749717474, 1.39371247819e-17, 0.837546050549, 0.837500214577,             0, -0.837546050549, -0.837500214577, -5.55111512313e-17, -5.55111512313e-17, -5.55111512313e-17, -5.55111512313e-17, -0.00623459368944, 0.317000865936, 0.324142366648,             0, 0.317000865936, 0.324142366648
        0.225, -0.0139915151522, -0.000649258203339, 0.0139915151522, 0.000649258203339, 2.44335632185e-14, 4.66050921288e-16,             0, -31.8072776794, -14.4615306854, -31.8072776794, -14.4615306854, 19.6339454651, 0.57201641798, -19.6339454651, -0.57201641798, 4565.49316406, 2649.53100586, 4565.49316406, 2649.53100586,             6,             0, 2.54390728538e-17, 0.103000238538,             0,             0,             0,             0,             0, -1.64137059843e-15,             0,             0,             0,             0,             0, -1.64137324541e-15, -0.0243756584823, -0.00120492768474, 0.0243756584823, 0.00120492768474, 3.66743946075, 3.66804981232, 3.66743946075, 3.66804981232, 7.49117231369, 0.0133671257645, -0.0133671257645, -7.64977206471e-14,             1, 119.701210022,           120, 119.700965881, 7.49172687531, 4.58175849915, 7.49172687531, 4.58175849915, 7.49117231369, 7.49172687531, 4.58175849915, 24.1163063049, 7.49172687531, 4.58175849915, 4.06411956158e-15,             0, 0.0134109668434, 0.000520078756381, -0.0134109668434, -0.000520078756381, 0.837416052818, 0.837493658066, -0.837416052818, -0.837493658066, 2.54390728538e-17, 0.837550878525,  0.8375005126,             0, -0.837550878525, -0.8375005126,             0, -5.55111512313e-17,             0, -5.55111512313e-17, -0.00607030419633, 0.316964536905, 0.324113696814,             0, 0.316964536905, 0.324113696814
